Gh id,Wmo id,Name,Full name,Latitude,Longitude,Elevation,Station ty,Rg region,Di distric,Ba basin,Xcoo,Ycoo
O1RYMA01,"11737",Rımaøov,Rımaøov,"495553","171746",578.000000000000000,AKS2,Moravskoslezskı,Bruntál,Moravice,17.29611111,49.93138889
P2KOSA01,,Kropáèova Vrutice,"Kropáèova Vrutice, Støíovice","501932","144217",210.000000000000000,MSS,Støedoèeskı,Mladá Boleslav,Labe,14.70472222,50.32555556
P2KOST01,,Kostomlaty nad Labem,Kostomlaty nad Labem,"501013","145741",185.000000000000000,MSS,Støedoèeskı,Nymburk,Labe,14.96138889,50.17027778
P2LOMN01,,Lomnice nad Popelkou,Lomnice nad Popelkou,"503218","152248",485.000000000000000,ASS,Libereckı,Semily,Jizera,15.38000000,50.53833333
P2MLBO01,,Mladá Boleslav,Mladá Boleslav,"502522","145449",221.000000000000000,MSS,Støedoèeskı,Mladá Boleslav,Jizera,14.91361111,50.42277778
P2MRZK01,,Mrzky,Mrzky,"500240","144827",260.000000000000000,AKS2,Støedoèeskı,Kolín,Labe,14.80750000,50.04444444
P2MSEN01,,Mšeno,Mšeno,"502626","143743",352.000000000000000,MSS,Støedoèeskı,Mìlník,Labe,14.62861111,50.44055556
P2NPAK01,,Nová Paka,Nová Paka,"502924","153049",450.000000000000000,MSS,Královéhradeckı,Jièín,Jizera,15.51361111,50.49000000
P2NVES01,,Káranı,Káranı,"501035","144356",170.000000000000000,ASS,Støedoèeskı,Praha-vıchod,Labe,14.73222222,50.17638889
P2ROKY01,,Rokytnice nad Jizerou,"Rokytnice nad Jizerou, Vilémov","504357","152520",525.000000000000000,MSS,Libereckı,Semily,Jizera,15.42222222,50.73250000
P2ROPR01,,Roprachtice,Roprachtice,"503905","152451",550.000000000000000,MSS,Libereckı,Semily,Jizera,15.41416667,50.65138889
O2PASE01,"11741",Paseka,Paseka,"494748","171351",292.000000000000000,AKS3,Olomouckı,Olomouc,Oskava,17.23083333,49.79666667
P2SEMI01,,Semily,Semily,"503648","151855",370.000000000000000,MSS,Libereckı,Semily,Jizera,15.31527778,50.61333333
P2SMRZ01,,Smrovka,Smrovka,"504346","151504",550.000000000000000,MSS,Libereckı,Jablonec nad Nisou,Jizera,15.25111111,50.72944444
P2STUD01,,Studenec,Studenec,"503310","153300",532.000000000000000,ASS,Libereckı,Semily,Jizera,15.55000000,50.55277778
O2OLOM01,"11742",Olomouc,"Olomouc, Holice","493433","171704",210.000000000000000,AKS1,Olomouckı,Olomouc,Morava,17.28444444,49.57583333
O3PRER01,"11748",Pøerov,Pøerov,"492752","172732",210.000000000000000,AKS2,Olomouckı,Pøerov,Beèva,17.45888889,49.46444444
P2VRTK01,,Všelibice,"Všelibice, Vrtky","503710","145704",410.000000000000000,MSS,Libereckı,Liberec,Jizera,14.95111111,50.61944444
P2VYSK01,,Vysoké nad Jizerou,Vysoké nad Jizerou,"504114","152410",690.000000000000000,ASS,Libereckı,Semily,Jizera,15.40277778,50.68722222
P2ZBRO01,,eleznı Brod,eleznı Brod,"503827","151506",290.000000000000000,MSS,Libereckı,Jablonec nad Nisou,Jizera,15.25166667,50.64083333
P3BOHD01,,Bohdaneè,Bohdaneè,"494643","151326",460.000000000000000,MSS,Støedoèeskı,Kutná Hora,Sázava,15.22388889,49.77861111
P3BOZE01,,Boejov,Boejov,"492139","150910",611.000000000000000,MSS,Vysoèina,Pelhøimov,elivka,15.15277778,49.36083333
P3DCHV01,,Dolní Chvatliny,Dolní Chvatliny,"495900","150356",290.000000000000000,MSS,Støedoèeskı,Kolín,Labe,15.06555556,49.98333333
P3DKRA01,,Dolní Kralovice,"Dolní Kralovice, Støíte","493945","150935",420.000000000000000,MSS,Støedoèeskı,Benešov,elivka,15.15972222,49.66250000
P3HABR01,,Habry,Habry,"494507","152913",467.000000000000000,MSS,Vysoèina,Havlíèkùv Brod,Sázava,15.48694444,49.75194444
B1IVAN01,"11749",Ivanovice na Hané,Ivanovice na Hané,"491833","170522",243.000000000000000,AKS2,Jihomoravskı,Vyškov,Haná,17.08944444,49.30916667
B1KROM01,"11751",Kromìøí,Kromìøí,"491705","172155",233.000000000000000,AKS1,Zlínskı,Kromìøí,Morava,17.36527778,49.28472222
P3HUMP01,,Humpolec,Humpolec,"493249","152110",515.000000000000000,MSS,Vysoèina,Pelhøimov,Sázava,15.35277778,49.54694444
P3HUMP02,,Humpolec,Humpolec,"493207","152112",540.000000000000000,ASS,Vysoèina,Pelhøimov,Sázava,15.35333333,49.53527778
P3JABL01,,Jablonná,Jablonná,"494651","142707",330.000000000000000,MSS,Støedoèeskı,Benešov,Vltava,14.45194444,49.78083333
P3JILO01,,Jílové u Prahy,Jílové u Prahy,"495358","142805",350.000000000000000,MSS,Støedoèeskı,Praha-západ,Vltava,14.46805556,49.89944444
B1STME01,"11754",Staré Mìsto,Staré Mìsto,"490530","172556",221.000000000000000,AKS1,Zlínskı,Uherské Hradištì,Morava,17.43222222,49.09166667
P3KOSE02,,Košetice,Košetice,"493424","150447",534.000000000000000,MKS,Vysoèina,Pelhøimov,Sázava,15.07972222,49.57333333
P3KOST01,,Kostelec n. Èernımi Lesy,Kostelec n. Èernımi Lesy,"500016","145008",360.000000000000000,MSS,Støedoèeskı,Kolín,Labe,14.83555556,50.00444444
P3KOZM01,,Kozmice,Kozmice,"494935","144739",500.000000000000000,MSS,Støedoèeskı,Benešov,Sázava,14.79416667,49.82638889
P3LEDS01,,Ledeè nad Sázavou,Ledeè nad Sázavou,"494154","151639",400.000000000000000,MSS,Vysoèina,Havlíèkùv Brod,Sázava,15.27750000,49.69833333
P3MLVO01,,Mladá Voice,Mladá Voice,"493215","144830",445.000000000000000,ASS,Jihoèeskı,Tábor,Sázava,14.80833333,49.53750000
P3NACE01,,Naèeradec,Naèeradec,"493616","145431",502.000000000000000,MSS,Støedoèeskı,Benešov,Sázava,14.90861111,49.60444444
B1STRZ01,"11755",Stránice,Stránice,"485357","172017",176.000000000000000,AKS1,Jihomoravskı,Hodonín,Morava,17.33805556,48.89916667
P3NIZK01,,Níkov,Níkov,"493157","154824",526.000000000000000,MSS,Vysoèina,ïár nad Sázavou,Sázava,15.80666667,49.53250000
